,sample,OTU_16S_25709,OTU_16S_25947,OTU_16S_33238,v_vul_total_abundance
628,S05T4222,0,0,0,0
629,S11T2722,0,0,0,0
630,S10T0423,0,0,0,0
631,S04T4322,0,0,0,0
632,S06M2322,0,0,0,0
633,S15M4322,0,0,0,0
634,S12T4222,0,0,0,0
635,S02M4422,0,0,0,0
636,S07M5122,0,0,0,0
637,S10T5122,0,0,0,0
638,S11M5122,0,0,0,0
639,S03M0223,0,0,0,0
640,S03M4322,0,0,0,0
641,S15M5122,0,0,0,0
642,S02T2322,0,0,0,0
643,S06M3422,0.000112518,0.000168776,0,0.000281294
644,S13T4322,0,0,0,0
645,S13M4222,0,0,0,0
646,S14M4422,0,0,0,0
647,S04M2422,0,0,0,0
648,S13M5122,0,0,0,0
649,S04M4422,0,0,0,0
650,S13T4522,0,0,0,0
651,S06M2422,0,0,0,0
652,S07M2422,0,0,0,0
653,S11M4322,0,0,0,0
654,S09T0423,0,0,0,0
655,S12T4522,0,0,0,0
656,S09M3422,0,0,0,0
657,S10M4422,0,0,0,0
658,S09T2322,0,0,0,0
659,S11T2322,0,0,0,0
660,S11M2222,0,0,0,0
661,S09T5222,0,0,0,0
662,S02T4222,0,0,0,0
663,S07T3522,0,0,0,0
664,S08T4522,0,0,0,0
665,S11T4422,0,0,0,0
666,S08M4622,0,0,0,0
667,S07T1622,0,0,0,0
668,S03T2822,0.000118498,0,0,0.000118498
669,S11M0223,0,0,0,0
670,S13T1622,0,0,0,0
671,S01X0523,0,0,0,0
672,S04T4822,0,0,0,0
673,S11T0323,0,0,0,0
674,S05M0423,0,0,0,0
675,S14T4322,0,0,0,0
676,S15T3722,0,0,0,0
677,S14M3422,0,0,0,0
678,S01X3422,0,0,0,0
679,S03T1722,0,0,0,0
680,S15M3122,0,0,0,0
681,S15M2422,0,0,0,0
682,S02T3422,0,0,3.12E-05,3.12E-05
683,S09T4322,0,0,0,0
684,S05M4822,0,0,0,0
685,S12M4422,0,0,0,0
686,S12M4922,0,0,0,0
687,S14T4922,0,0,0,0
688,S08T2422,0,0,0,0
689,S06T0123,0,0,0,0
690,S03T3422,0.000102093,0,0,0.000102093
691,S10T4322,0,0,0,0
692,S15M0423,0,0,0,0
693,S14T0123,0,0,0,0
694,S10M4522,0,0,0,0
695,S15M5222,0,0,0,0
696,S09T3422,0,0,0,0
697,S05T5222,0,0,0,0
698,S03T2022,0,0,0,0
699,S08T5222,0,0,0,0
700,S02M2522,0,0,0,0
701,S09T4522,0,0,0,0
702,S02M3322,0,0,0,0
703,S15T0123,0,0,0,0
704,S14M4522,0,0,0,0
705,S15M0223,0,0,0,0
706,S13M4522,0,0,0,0
707,S02M0223,0,0,0,0
708,S02M1922,0,0,0,0
709,S11T0223,0,0,0,0
710,S13M1922,0,0,0,0
711,S04M0323,0,0,0,0
712,S14M0323,0,0,0,0
713,S04T2522,0,0,0,0
714,S13T0123,0,0,0,0
715,S06M0323,0,0,0,0
716,S13M5022,0,0,0,0
717,S04T4522,0,0,0,0
718,S05M4622,0,0,0,0
719,S06M3522,1.05E-05,3.69E-05,0,4.74E-05
720,S03M4622,0,0,0,0
721,S03T5022,0,0,0,0
722,S04T2422,0,0,0,0
723,S14T4522,0,0,0,0
724,S07M5222,0,0,0,0
725,S14M0423,0,0,0,0
726,S15T4522,0,0,0,0
727,S04M4822,0,0,0,0
728,S08M0323,0,0,0,0
729,S04M5122,0,0,0,0
730,S14T4822,0,0,0,0
731,S12T0223,0,0,0,0
732,S14T5222,0,0,0,0
733,S07M4922,0,0,0,0
734,S02M0323,0,0,0,0
735,S05T1923,0,0,0,0
736,S06T1923,0,0,0,0
737,S07T4822,0,0,0,0
738,S02T0423,0,0,0,0
739,S06M0223,0,0,0,0
740,S11T4822,0,0,0,0
741,S09M0423,0,0,0,0
742,S04T0323,0,0,0,0
743,S02T1223,0,0,0,0
744,S15M4922,0,0,0,0
745,S12M0423,0,0,0,0
746,S06M1323,0,0,0,0
747,S04M5022,0,0,0,0
748,S06M0423,0,0,0,0
749,S13M0423,0,0,0,0
750,S14T5022,0,0,0,0
751,S09T0323,0,0,0,0
752,S07M0623,0,0,0,0
753,S08T4922,0,0,0,0
754,S04M0423,0,0,0,0
755,S08T0623,0,0,0,0
756,S07T0623,0,0,0,0
757,S14T1622,0,0,0,0
758,S11M5022,0,0,0,0
759,S07T1023,0,0,0,0
760,S09M0823,0,0,0,0
761,S03T0323,0,0,0,0
762,S09M5022,0,0,0,0
763,S06T0423,0,0,0,0
764,S05M1623,0,0,0,0
765,S03T5122,0,0,0,0
766,S11T0523,0,0,0,0
767,S15T0623,0,0,0,0
768,S15T1523,0,0,0,0
769,S04T1823,0,0,0,0
770,S09T0823,0,0,0,0
771,S02T1823,0,0,0,0
772,S03T1823,0,0,0,0
773,S15M0123,0,0,0,0
774,S09T1823,0,0,0,0
775,S11T1923,0,0,0,0
776,S10T1823,0,0,0,0
777,S13T1923,0,0,0,0
778,S09T1423,0,0,0,0
779,S03T1923,0,0,0,0
780,S10M1123,0,0,0,0
781,S02M1223,0,0,0,0
782,S09T0123,0,0,0,0
783,S13M0223,0,0,0,0
784,S07T0223,0,0,0,0
785,S01X1023,0,0,0,0
786,S10T0223,0,0,0,0
787,S03M0523,0,0,0,0
788,S11M1123,0,0,0,0
789,S14T0223,0,0,0,0
790,S04M0623,0,0,0,0
791,S15M2922,0,0,0,0
792,S01X2522,0,0,0,0
793,S03M0323,0,0,0,0
794,S07T2822,0,0,0,0
795,S15M4022,0,0,0,0
796,S06T0223,0,0,0,0
797,S04T2922,0,0,0,0
798,S14M4122,0,0,0,0
799,S02T0223,0,0,0,0
800,S09M0723,0,0,0,0
801,S12T1423,0,0,0,0
802,S03T4422,0,0,0,0
803,S04T0523,0,0,0,0
804,S15T0523,0,0,0,0
805,S02T1423,0,0,0,0
806,S08T0523,0,0,0,0
807,S04T2322,0,0,0,0
808,S05T1123,0,0,0,0
809,S01X0223,0,0,0,0
810,S05M0523,0,0,0,0
811,S15M0523,0,0,0,0
812,S09T1223,0,0,0,0
813,S09T0523,0,0,0,0
814,S11M4222,0,0,0,0
815,S04T5122,0,0,0,0
816,S05T1723,0,0,0,0
817,S11T0723,0,0,0,0
818,S15M0723,0,0,0,0
819,S04T0223,0,0,0,0
820,S08T1623,0,0,0,0
821,S14M1623,0,0,0,0
822,S10M2422,0,0,0,0
823,S05M0323,0,0,0,0
824,S05M0823,0,0,0,0
825,S03T0723,0,0,0,0
826,S07T1423,0,0,0,0
827,S12M0723,0,0,0,0
